support,itemsets,itemset_len
0.06426187269426714,"frozenset({'Cocktail Bars', 'Bars', 'Restaurants', 'Nightlife'})",4
0.058968202845933126,"frozenset({'Bars', 'Food', 'Restaurants', 'Nightlife'})",4
0.06663933946243486,"frozenset({'American (New)', 'Bars', 'Restaurants', 'Nightlife'})",4
0.05816009837793523,"frozenset({'Bars', 'Restaurants', 'Nightlife', 'American (Traditional)'})",4
0.06211863910522926,"frozenset({'Food', 'Restaurants', 'Nightlife'})",3
0.05816009837793523,"frozenset({'Bars', 'Nightlife', 'American (Traditional)'})",3
0.06426187269426714,"frozenset({'Cocktail Bars', 'Restaurants', 'Nightlife'})",3
0.06426187269426714,"frozenset({'Cocktail Bars', 'Restaurants', 'Bars'})",3
0.07127715640920536,"frozenset({'Cocktail Bars', 'Bars', 'Nightlife'})",3
0.05949522749897523,"frozenset({'Coffee & Tea', 'Food', 'Restaurants'})",3
0.05942495754523628,"frozenset({'American (Traditional)', 'Restaurants', 'Nightlife'})",3
0.05816009837793523,"frozenset({'American (Traditional)', 'Restaurants', 'Bars'})",3
0.20220179188382034,"frozenset({'Bars', 'Restaurants', 'Nightlife'})",3
0.06663933946243486,"frozenset({'American (New)', 'Bars', 'Nightlife'})",3
0.06663933946243486,"frozenset({'American (New)', 'Restaurants', 'Bars'})",3
0.06845464660069099,"frozenset({'American (New)', 'Restaurants', 'Nightlife'})",3
0.058968202845933126,"frozenset({'Food', 'Restaurants', 'Bars'})",3
0.06984833401651344,"frozenset({'Bars', 'Food', 'Nightlife'})",3
0.055150202026117,"frozenset({'Breakfast & Brunch', 'Food', 'Restaurants'})",3
