antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'fans', 'cool', 'friend'})",frozenset({'useful_user'}),0.2281782514493178,0.3965567722667916,0.22106927446272764,0.9688446337832982,2.443142322964764,1.0,0.1305836435665058,19.368837571542148,0.7653205663750245,0.5476542780050483,0.9483706755087221,0.7631582885396113
"frozenset({'useful_user', 'cool', 'friend'})",frozenset({'fans'}),0.2245710604907185,0.38834689933829125,0.22106927446272764,0.984406779661017,2.534864527921709,1.0,0.13385779944004528,39.22557928156616,0.7808602043834981,0.5641700041843505,0.9745064313054022,0.7768319974483497
"frozenset({'fans', 'useful_user', 'friend'})",frozenset({'cool_user'}),0.25028986355917315,0.4011711658956491,0.24648357439831353,0.9847924757849422,2.454793762623264,1.0,0.1460744980224171,39.37714158044336,0.790483913702226,0.6086352988808238,0.9746045558447378,0.7996012358489142
"frozenset({'fans', 'cool_user', 'friend'})",frozenset({'useful_user'}),0.2483691514903086,0.3965567722667916,0.24648357439831353,0.992408167114632,2.5025626505931142,1.0,0.14799110535267496,79.48584180458498,0.7988091566709449,0.6186179124658299,0.9874191431166005,0.8069837645968907
"frozenset({'cool_user', 'useful_user', 'friend'})",frozenset({'fans'}),0.2517421092697781,0.38834689933829125,0.24648357439831353,0.9791114212607583,2.5212288882158647,1.0,0.1487203068305139,29.281700219874043,0.8063637281226448,0.6262199476315164,0.9658489776040641,0.8069054497660588
"frozenset({'useful_user', 'cool', 'friend'})",frozenset({'cool_user'}),0.2245710604907185,0.4011711658956491,0.22335304795924343,0.9945762711864408,2.4791818449014493,1.0,0.13326161379575954,110.40906628799142,0.7694336573627507,0.5550672332498982,0.9909427727846951,0.7756643836226476
"frozenset({'cool_user', 'cool', 'friend'})",frozenset({'useful_user'}),0.22573051472741112,0.3965567722667916,0.22335304795924343,0.989467676662862,2.4951475951523467,1.0,0.13383808363681982,57.29440774054153,0.7739193094372379,0.5598743504682502,0.9825462896042398,0.7763493138187316
"frozenset({'fans', 'cool', 'friend'})",frozenset({'cool_user'}),0.2281782514493178,0.4011711658956491,0.22116296773437957,0.9692552481650669,2.416064090750693,1.0,0.12962443256842615,19.477432679223778,0.7593770142132248,0.5418184948211058,0.9486585313131807,0.7602742638910229
"frozenset({'cool_user', 'cool', 'friend'})",frozenset({'fans'}),0.22573051472741112,0.38834689933829125,0.22116296773437957,0.9797654871848086,2.52291311931225,1.0,0.13350122225395297,30.228209902958476,0.779615902508433,0.5628781781871294,0.9669183189077257,0.7746319821098506
"frozenset({'cool', 'cool_user', 'useful_user', 'friend'})",frozenset({'fans'}),0.22335304795924343,0.38834689933829125,0.21985126193125257,0.9843217450579413,2.53464556234423,1.0,0.13311279829852374,39.012830376988035,0.7795917028504613,0.5610616295056491,0.9743674070725754,0.7752212784519479
