antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
{'cool_user', 'cool'},{'useful_user'},0.33396105035382184,0.3968653137610387,0.319737996374057,0.9574110395068648,2.4124331512714234,1.0,0.18720043934142144,14.161761152545125,0.8790488037442121,0.7777841006088888,0.929387313539017,0.8815348743069249
{'cool', 'useful_user'},{'cool_user'},0.3250950347973566,0.4014737703959296,0.319737996374057,0.9835216233719508,2.4497780325773495,1.0,0.1892208670169663,36.321917086496875,0.8768638292698775,0.7859237536656892,0.9724684135581665,0.8899661490592419
{'cool_user', 'useful_user'},{'fans'},0.3834025381601263,0.3886660038598748,0.3409673080297093,0.8893193813112052,2.2881326704144422,1.0,0.19195177565327987,5.523406025214208,0.9130144698009022,0.790921670239032,0.8189522922205926,0.8832976273976051
{'cool_user', 'fans'},{'useful_user'},0.34598514533013625,0.3968653137610387,0.3409673080297093,0.9854969574036511,2.4832025456299776,1.0,0.20365780477160622,41.58676927493802,0.9132731817913645,0.8484239937134376,0.9759538906860303,0.9223240755188016
{'fans', 'useful_user'},{'cool_user'},0.3493537633779753,0.4014737703959296,0.3409673080297093,0.9759943752511049,2.431028991728622,1.0,0.20071093544434615,24.93274954785829,0.9047182939288393,0.8319111897491509,0.959892109047961,0.9126417511962318
{'cool_user', 'cool'},{'fans'},0.33396105035382184,0.3886660038598748,0.294988010994795,0.883300644438218,2.272647043132368,1.0,0.16518870410892864,5.238537892494854,0.8407683474060758,0.6898060775142911,0.8091070408342985,0.8211381190231055
{'cool', 'fans'},{'cool_user'},0.3161120533364524,0.4014737703959296,0.294988010994795,0.9331754606675052,2.3243746652420567,1.0,0.16807731307421026,8.956683212225679,0.833143444836239,0.6980348740658732,0.8883515274231177,0.8339691544102006
{'cool', 'useful_user'},{'fans'},0.3250950347973566,0.3886660038598748,0.29437978829171296,0.9055191768007483,2.3298131758578347,1.0,0.16802640024233742,6.470455860136571,0.8457206042664227,0.7019383628503696,0.8454513837022152,0.8314649361387955
{'cool', 'fans'},{'useful_user'},0.3161120533364524,0.3968653137610387,0.29437978829171296,0.931251387552727,2.3465174588511757,1.0,0.1689258790606956,8.773045226207834,0.839079768059616,0.7032524868671064,0.8860144939168118,0.8365069198300032
{'cool_user', 'cool', 'useful_user'},{'fans'},0.319737996374057,0.3886660038598748,0.2911983156909761,0.9107404155692128,2.3432469177251756,1.0,0.16692702635810824,6.848945130527243,0.8426778612977961,0.6979730298017888,0.8539921139763871,0.8299827450261725
{'cool_user', 'cool', 'fans'},{'useful_user'},0.294988010994795,0.3968653137610387,0.2911983156909761,0.9871530531324347,2.4873754871075007,1.0,0.17412780615178206,46.947706132551815,0.8481697265851992,0.7268056285397327,0.9786997047911862,0.8604495003357429
{'fans', 'cool', 'useful_user'},{'cool_user'},0.29437978829171296,0.4014737703959296,0.2911983156909761,0.989192625556262,2.4639034938216007,1.0,0.17301255215714656,55.3812799510122,0.8420109546075857,0.7196207654064054,0.9819433570173071,0.8572580072193383
{'cool_user', 'useful_user'},{'cool', 'fans'},0.3834025381601263,0.3161120533364524,0.2911983156909761,0.7595106623142867,2.4026627719440516,1.0,0.170000152098771,2.843734999833113,0.9468010232377754,0.7131685238763642,0.6483497934727794,0.8403488337102404
{'cool_user', 'cool'},{'fans', 'useful_user'},0.33396105035382184,0.3493537633779753,0.2911983156909761,0.871952927991034,2.49590249024352,1.0,0.17452776592820693,5.081305073312926,0.8998622715079668,0.7426321441355448,0.8032001650024889,0.8527435726067397
{'cool_user', 'fans'},{'cool', 'useful_user'},0.34598514533013625,0.3250950347973566,0.2911983156909761,0.8416497633536174,2.5889345368754952,1.0,0.178720262830507,4.262102662402691,0.938420147225855,0.7665496643882014,0.7653740232910612,0.8686913276723474
{'cool', 'useful_user'},{'cool_user', 'fans'},0.3250950347973566,0.34598514533013625,0.2911983156909761,0.8957328919910772,2.5889345368754952,1.0,0.178720262830507,6.272494434332019,0.9093735382772167,0.7665496643882014,0.8405737923773074,0.8686913276723474
{'fans', 'useful_user'},{'cool_user', 'cool'},0.3493537633779753,0.33396105035382184,0.2911983156909761,0.8335342172224455,2.49590249024352,1.0,0.17452776592820693,4.001056184238145,0.9211508319067747,0.7426321441355448,0.7500659940894048,0.8527435726067397
{'cool', 'fans'},{'cool_user', 'useful_user'},0.3161120533364524,0.3834025381601263,0.2911983156909761,0.9211870051061941,2.4026627719440516,1.0,0.170000152098771,7.823550705955138,0.8536414636987562,0.7131685238763642,0.8721807990278865,0.8403488337102404
{'cool_user', 'funny_user'},{'useful_user'},0.3544183870401778,0.3968653137610387,0.34727177027896367,0.9798356489884821,2.468937483356035,1.0,0.20661540590358227,29.910939652580407,0.9215991536171022,0.8595582061897452,0.9665674160820377,0.927436244771282
{'cool_user', 'useful_user'},{'funny_user'},0.3834025381601263,0.3858003392011229,0.34727177027896367,0.9057628359620489,2.3477502322512542,1.0,0.19935494100621548,6.517594911403818,0.9310130970939788,0.8230532531256064,0.8465691695182984,0.9029481169866029
{'useful_user', 'funny_user'},{'cool_user'},0.35535411427568864,0.4014737703959296,0.34727177027896367,0.9772555215430696,2.4341702836011168,1.0,0.20460641419499692,26.31523210072533,0.9139628601401133,0.8479223190061401,0.9619991951364002,0.9211239733341732
{'funny_user', 'useful_user'},{'fans'},0.35535411427568864,0.3886660038598748,0.3280074858178841,0.9230440077680129,2.374902869304712,1.0,0.1898934222671869,7.943942744539409,0.8980591681277093,0.788455590856693,0.8741179245422696,0.8834877566902901
{'fans', 'useful_user'},{'funny_user'},0.3493537633779753,0.3858003392011229,0.3280074858178841,0.9388978170617384,2.433636577422184,1.0,0.1932266854054724,10.052008476022397,0.9053956980043131,0.8056249820448734,0.9005173938735374,0.8945489570392369
{'fans', 'funny_user'},{'useful_user'},0.336300368442599,0.3968653137610387,0.3280074858178841,0.9753408458542014,2.457611718723989,1.0,0.19454153457795914,24.45885542840989,0.8936284885127943,0.8095787984641588,0.9591150124368264,0.900918286174964
{'cool_user', 'funny_user'},{'fans'},0.3544183870401778,0.3886660038598748,0.326685771097725,0.9217517573677436,2.371578034131489,1.0,0.18893539291235664,7.812750492215069,0.8958430927120316,0.7845505617977528,0.8720041039328673,0.8811413094822709
{'cool_user', 'fans'},{'funny_user'},0.34598514533013625,0.3858003392011229,0.326685771097725,0.9442190669371198,2.4474293332460904,1.0,0.19320458467080864,11.010924828139888,0.9042730675387386,0.8064329849281053,0.9091811073449192,0.8954966302427534
{'fans', 'funny_user'},{'cool_user'},0.336300368442599,0.4014737703959296,0.326685771097725,0.9714106844741236,2.4196118304718333,1.0,0.1916699941935345,20.935311622355556,0.8840001406079643,0.7946850281682125,0.9522338134708174,0.8925635172749362
{'cool_user', 'useful_user', 'funny_user'},{'fans'},0.34727177027896367,0.3886660038598748,0.3230949178314521,0.9303805995284607,2.3937792096267043,1.0,0.18812218662378286,8.781086766037888,0.8920259640484363,0.782609927470535,0.8861188795141345,0.8808362716562523
{'cool_user', 'fans', 'funny_user'},{'useful_user'},0.326685771097725,0.3968653137610387,0.3230949178314521,0.9890082348728965,2.4920500748735126,1.0,0.19344466678348662,54.87150419105567,0.8892192211182416,0.8068171860852295,0.9817756043917054,0.9015627675985467
{'cool_user', 'fans', 'useful_user'},{'funny_user'},0.3409673080297093,0.3858003392011229,0.3230949178314521,0.9475832733010875,2.456149404283182,1.0,0.1915496147370965,11.71762716750529,0.8995891263296426,0.800388270746407,0.9146584896664789,0.8925249618991491
{'useful_user', 'fans', 'funny_user'},{'cool_user'},0.3280074858178841,0.4014737703959296,0.3230949178314521,0.9850230003922547,2.4535176966127437,1.0,0.19140851578205678,39.96302632568295,0.8815900780923918,0.7950437485609025,0.9749768700735927,0.8948975857339434
{'cool_user', 'funny_user'},{'fans', 'useful_user'},0.3544183870401778,0.3493537633779753,0.3230949178314521,0.9116200785452624,2.6094468533288877,1.0,0.19927752050861416,7.3619236803151376,0.9553819491512064,0.8487371720027037,0.8641659376782356,0.9182280116845771
{'cool_user', 'useful_user'},{'fans', 'funny_user'},0.3834025381601263,0.336300368442599,0.3230949178314521,0.8427041703529699,2.505808049677489,1.0,0.19415650298637402,4.219435652214904,0.9745858054931383,0.8146455113837442,0.7630014811400024,0.9017186683706975
{'cool_user', 'fans'},{'useful_user', 'funny_user'},0.34598514533013625,0.35535411427568864,0.3230949178314521,0.9338404327248141,2.627915071781968,1.0,0.20014767296011615,9.743804445439519,0.9471806248960026,0.8541963015647226,0.8973706825091262,0.9215300053752769
{'useful_user', 'funny_user'},{'cool_user', 'fans'},0.35535411427568864,0.34598514533013625,0.3230949178314521,0.9092195780257397,2.627915071781968,1.0,0.20014767296011615,7.204360152184597,0.9609464862114887,0.8541963015647226,0.8611951680821,0.9215300053752769
{'fans', 'funny_user'},{'cool_user', 'useful_user'},0.336300368442599,0.3834025381601263,0.3230949178314521,0.9607331663884251,2.505808049677489,1.0,0.19415650298637402,15.70275484749338,0.905420321843686,0.8146455113837442,0.9363169068286366,0.9017186683706975
{'fans', 'useful_user'},{'cool_user', 'funny_user'},0.3493537633779753,0.3544183870401778,0.3230949178314521,0.9248359448238918,2.6094468533288877,1.0,0.19927752050861416,8.588967312197754,0.9479452658142932,0.8487371720027037,0.8835715676109474,0.9182280116845771
{'cool_user', 'cool'},{'funny_user'},0.33396105035382184,0.3858003392011229,0.3029182993157495,0.9070467918184366,2.351078264204379,1.0,0.17407601280928173,6.607621972543162,0.862807265484164,0.7266962231326114,0.8486596230602585,0.8461076791980857
{'cool', 'funny_user'},{'cool_user'},0.31875548277677057,0.4014737703959296,0.3029182993157495,0.9503155731689418,2.36706764736274,1.0,0.17494633381098462,12.046555989047372,0.8477666263659166,0.7258814955995292,0.9169887226764901,0.8524156819346632
{'cool', 'funny_user'},{'useful_user'},0.31875548277677057,0.3968653137610387,0.30040353237031403,0.9424262439453984,2.374675264547947,1.0,0.17390053768505961,10.47586135716007,0.8497533192337177,0.7234851685962984,0.9045424556600765,0.8496835021672173
{'cool', 'useful_user'},{'funny_user'},0.3250950347973566,0.3858003392011229,0.30040353237031403,0.9240483557602359,2.395146561233367,1.0,0.174981757672893,8.086719740522959,0.8630682022395043,0.7318136486679013,0.876340465344811,0.8513493052145831
{'cool', 'funny_user'},{'fans'},0.31875548277677057,0.3886660038598748,0.2864845897420902,0.8987597240569499,2.3124217583511073,1.0,0.1625951700428176,6.038446561366686,0.8331119322163452,0.6805879737690341,0.8343944937100397,0.8179284190118329
{'cool', 'fans'},{'funny_user'},0.3161120533364524,0.3858003392011229,0.2864845897420902,0.9062754384666617,2.349078905278536,1.0,0.1645284523393234,6.553241228878976,0.8397592515871954,0.6896134245572543,0.8474037556265781,0.8244237973318028
{'cool_user', 'cool', 'funny_user'},{'useful_user'},0.3029182993157495,0.3968653137610387,0.2971986665886894,0.9811182330681905,2.4721692701492763,1.0,0.17698090068678424,31.94270368960431,0.8542713908809677,0.7382259798367179,0.9686939462070192,0.8649917720012334
{'cool_user', 'cool', 'useful_user'},{'funny_user'},0.319737996374057,0.3858003392011229,0.2971986665886894,0.9295068773778167,2.4092951273774084,1.0,0.17384363913209078,8.712901882510678,0.8598758151473983,0.7278221763913951,0.8852276757520603,0.8499250370396239
{'useful_user', 'cool', 'funny_user'},{'cool_user'},0.30040353237031403,0.4014737703959296,0.2971986665886894,0.989331464392789,2.4642493167539183,1.0,0.17659452780772372,56.10200421504116,0.8493423456624662,0.734406613099023,0.9821753248570771,0.8648003318933994
{'cool_user', 'funny_user'},{'cool', 'useful_user'},0.3544183870401778,0.3250950347973566,0.2971986665886894,0.8385531830632651,2.579409382816214,1.0,0.18197900872103978,4.180354732339591,0.9484693165758832,0.7773664565869178,0.7607858509556827,0.8763716480186441
{'cool_user', 'cool'},{'useful_user', 'funny_user'},0.33396105035382184,0.35535411427568864,0.2971986665886894,0.8899201456990754,2.50431924085917,1.0,0.17852423333762835,5.856165869933358,0.9018840218608499,0.7579346140078749,0.8292398094230586,0.8631326148988447
{'cool_user', 'useful_user'},{'cool', 'funny_user'},0.3834025381601263,0.31875548277677057,0.2971986665886894,0.7751609262027517,2.4318355858544054,1.0,0.1749870054396191,3.0299204925454855,0.954898497204596,0.7338975218069433,0.6699583363786936,0.8537664311037243
{'cool', 'funny_user'},{'cool_user', 'useful_user'},0.31875548277677057,0.3834025381601263,0.2971986665886894,0.9323719360046968,2.4318355858544054,1.0,0.1749870054396191,9.117479126456981,0.8642829040165768,0.7338975218069433,0.8903205605266247,0.8537664311037243
{'useful_user', 'funny_user'},{'cool_user', 'cool'},0.35535411427568864,0.33396105035382184,0.2971986665886894,0.8363450840986142,2.50431924085917,1.0,0.17852423333762835,4.0697766148834535,0.9318137289404214,0.7579346140078749,0.754286268110409,0.8631326148988447
{'cool', 'useful_user'},{'cool_user', 'funny_user'},0.3250950347973566,0.3544183870401778,0.2971986665886894,0.9141901129740231,2.579409382816214,1.0,0.18197900872103978,7.523394276983346,0.9072601074346942,0.7773664565869178,0.867081271672901,0.8763716480186441
{'cool_user', 'cool', 'funny_user'},{'fans'},0.3029182993157495,0.3886660038598748,0.2818761331071993,0.9305351764615029,2.394176921110361,1.0,0.16414208821611748,8.800626921643675,0.8353682541748734,0.6879924631723193,0.8863717313660159,0.8278875888326354
{'cool_user', 'cool', 'fans'},{'funny_user'},0.294988010994795,0.3858003392011229,0.2818761331071993,0.955551149881047,2.4768022543984993,1.0,0.16806965840514282,13.818122609587633,0.8457354013340073,0.7066119337340567,0.9276312688594791,0.8430890602667422
{'fans', 'cool', 'funny_user'},{'cool_user'},0.2864845897420902,0.4014737703959296,0.2818761331071993,0.9839137712815907,2.4507548035112343,1.0,0.16686008470311128,37.207367872316176,0.8296421291602869,0.694135606889798,0.9731236027382619,0.8430086278619817
{'cool_user', 'funny_user'},{'cool', 'fans'},0.3544183870401778,0.3161120533364524,0.2818761331071993,0.7953202864591928,2.5159441978401795,1.0,0.16984020903973515,3.3412590570545246,0.9333210437673782,0.7252618273745035,0.7007116230964903,0.8435085854704016
{'cool_user', 'cool'},{'fans', 'funny_user'},0.33396105035382184,0.336300368442599,0.2818761331071993,0.844038946483609,2.5097770495831995,1.0,0.16956490882773165,4.255547244605195,0.9031877704458573,0.7257641921397381,0.7650125959081497,0.8411033630581651
{'cool_user', 'fans'},{'cool', 'funny_user'},0.34598514533013625,0.31875548277677057,0.2818761331071993,0.8147058823529413,2.5558960594365447,1.0,0.17159147107390058,3.676557711998383,0.9307858659885704,0.7362294931720283,0.7280064456117424,0.8495039759629084
{'cool', 'funny_user'},{'cool_user', 'fans'},0.31875548277677057,0.34598514533013625,0.2818761331071993,0.8843020695728755,2.5558960594365447,1.0,0.17159147107390058,5.652779200590912,0.8935819188014166,0.7362294931720283,0.8230958676228738,0.8495039759629084
{'fans', 'funny_user'},{'cool_user', 'cool'},0.336300368442599,0.33396105035382184,0.2818761331071993,0.8381677796327213,2.5097770495831995,1.0,0.16956490882773165,4.115613986724032,0.9063712037167306,0.7257641921397381,0.7570228881460321,0.8411033630581651
{'cool', 'fans'},{'cool_user', 'funny_user'},0.3161120533364524,0.3544183870401778,0.2818761331071993,0.8916968844816103,2.515944197840179,1.0,0.16984020903973515,5.960877578357417,0.8810433167951679,0.7252618273745035,0.8322394669484957,0.8435085854704016
{'funny_user', 'cool', 'useful_user'},{'fans'},0.30040353237031403,0.3886660038598748,0.2810339785952395,0.9355215512206518,2.4070063806196287,1.0,0.164277338123479,9.481214385789158,0.8355476409844116,0.6887487458793179,0.8945282788353734,0.8292973851983364
{'fans', 'cool', 'useful_user'},{'funny_user'},0.29437978829171296,0.3858003392011229,0.2810339785952395,0.9546646535282899,2.4745044431664183,1.0,0.1674621564183419,13.547920300601348,0.8444750743925138,0.7040879120879121,0.9261879330692835,0.8415543738172616
{'fans', 'cool', 'funny_user'},{'useful_user'},0.2864845897420902,0.3968653137610387,0.2810339785952395,0.9809741558812722,2.47180623215648,1.0,0.16733818199954242,31.700810879937567,0.8345125213201409,0.6985405279683684,0.9684550655884685,0.8445542751112816
{'funny_user', 'useful_user'},{'cool', 'fans'},0.35535411427568864,0.3161120533364524,0.2810339785952395,0.7908561271847536,2.501822119205969,1.0,0.1687022598699952,3.26994014913208,0.9311954672070236,0.7198022768124626,0.6941840050909116,0.8399444552152584
{'cool', 'useful_user'},{'fans', 'funny_user'},0.3250950347973566,0.336300368442599,0.2810339785952395,0.8644671511837086,2.570520975599999,1.0,0.17170439861402892,4.896965107381576,0.9052738300735219,0.7388603585596112,0.7957918878179011,0.8500653785968626
{'fans', 'useful_user'},{'cool', 'funny_user'},0.3493537633779753,0.31875548277677057,0.2810339785952395,0.8044395339493773,2.5236884615808752,1.0,0.1696755510898113,3.483549262185143,0.9279306384969327,0.726044782884598,0.71293645511052,0.8430497977981144
{'cool', 'funny_user'},{'fans', 'useful_user'},0.31875548277677057,0.3493537633779753,0.2810339785952395,0.8816600616468516,2.5236884615808752,1.0,0.1696755510898113,5.498112012534394,0.886252384452533,0.726044782884598,0.8181193839412081,0.8430497977981144
{'fans', 'funny_user'},{'cool', 'useful_user'},0.336300368442599,0.3250950347973566,0.2810339785952395,0.8356636060100167,2.570520975599999,1.0,0.17170439861402892,4.106850277144211,0.9205576946772692,0.7388603585596112,0.7565043932657385,0.8500653785968626
{'cool', 'fans'},{'funny_user', 'useful_user'},0.3161120533364524,0.35535411427568864,0.2810339785952395,0.8890327832457633,2.5018221192059684,1.0,0.1687022598699952,5.8093363479777365,0.8777626944132428,0.7198022768124626,0.8278632979568991,0.8399444552152584
{'cool_user', 'useful_user', 'cool', 'fans'},{'funny_user'},0.2911983156909761,0.3858003392011229,0.2792210070764372,0.9588688946015423,2.485401896190846,1.0,0.16687659810806296,14.932729253172672,0.8431844870249099,0.7019524817689955,0.9330330053504763,0.8413068702937374
{'cool_user', 'funny_user', 'cool', 'fans'},{'useful_user'},0.2818761331071993,0.3968653137610387,0.2792210070764372,0.9905805220133614,2.49601183995085,1.0,0.16735414706910026,64.03058503820512,0.8346204637537843,0.6988904177767367,0.9843824634836097,0.8470733438242463
{'cool_user', 'funny_user', 'cool', 'useful_user'},{'fans'},0.2971986665886894,0.3886660038598748,0.2792210070764372,0.9395096225746783,2.417267302116288,1.0,0.16370998898092803,10.106301566639198,0.8342467305742468,0.6866478743600068,0.9010518345008633,0.8289591207760387
{'useful_user', 'funny_user', 'cool', 'fans'},{'cool_user'},0.2810339785952395,0.4014737703959296,0.2792210070764372,0.9935489241270238,2.4747542613984357,1.0,0.16639323608043743,92.7792885077228,0.82885624318833,0.6923634676179703,0.9892217323921733,0.8445194801266747
{'cool_user', 'cool', 'fans'},{'funny_user', 'useful_user'},0.294988010994795,0.35535411427568864,0.2792210070764372,0.9465503568596353,2.663681997291548,1.0,0.17439580370743474,12.060808040034983,0.8859137437548857,0.7523716473888241,0.9170868156859331,0.866152305581656
{'cool_user', 'useful_user', 'fans'},{'cool', 'funny_user'},0.3409673080297093,0.31875548277677057,0.2792210070764372,0.8189084422489795,2.569080334290199,1.0,0.1705358081943314,3.761878939491261,0.9267456065793085,0.7338231225600197,0.7341753905203459,0.8474404239719872
{'cool_user', 'funny_user', 'fans'},{'cool', 'useful_user'},0.326685771097725,0.3250950347973566,0.2792210070764372,0.8547081990691013,2.6291025933443484,1.0,0.17301708495362103,4.6451689694701415,0.9202866226056615,0.7494662815521788,0.7847225781080539,0.8567993035354142
{'cool_user', 'cool', 'useful_user'},{'funny_user', 'fans'},0.319737996374057,0.336300368442599,0.2792210070764372,0.8732806555458004,2.596728215285483,1.0,0.17169300109074348,5.237555752959905,0.9039164475937209,0.7409982617333003,0.8090712448388031,0.8517766661145807
{'cool_user', 'cool', 'funny_user'},{'useful_user', 'fans'},0.3029182993157495,0.3493537633779753,0.2792210070764372,0.9217700208510309,2.6385003325518577,1.0,0.17339535921442417,8.317095871686663,0.8908522855096301,0.7484793378064838,0.8797657240667102,0.8605100271658395
{'cool_user', 'funny_user', 'useful_user'},{'cool', 'fans'},0.34727177027896367,0.3161120533364524,0.2792210070764372,0.8040417649040081,2.5435340298404565,1.0,0.16944421470776921,3.489967881822058,0.9297073415832083,0.7268298623797343,0.7134644117475616,0.8436696651057449
{'useful_user', 'cool', 'fans'},{'cool_user', 'funny_user'},0.29437978829171296,0.3544183870401778,0.2792210070764372,0.9485060394151303,2.6762325942971046,1.0,0.1748873973328593,12.537035520812355,0.887645208946363,0.755514764059879,0.9202363271333219,0.8681674119718468
{'funny_user', 'cool', 'fans'},{'cool_user', 'useful_user'},0.2864845897420902,0.3834025381601263,0.2792210070764372,0.9746458171722533,2.5420953701803533,1.0,0.16938208822555734,24.319358506995208,0.8501900858709155,0.7147305389221557,0.9588804943307874,0.8514584831918193
{'useful_user', 'funny_user', 'fans'},{'cool_user', 'cool'},0.3280074858178841,0.33396105035382184,0.2792210070764372,0.8512641300859395,2.548992252791307,1.0,0.16967928258878032,4.477998145511335,0.9043078378612458,0.7295174647801241,0.7766859280631051,0.8436763351466403
{'funny_user', 'cool', 'useful_user'},{'cool_user', 'fans'},0.30040353237031403,0.34598514533013625,0.2792210070764372,0.929486430712923,2.6864923054023446,1.0,0.17528584727160784,9.275021265867549,0.8973278667035175,0.7604727469656909,0.8921835356130082,0.868259104470728
{'cool_user', 'fans'},{'funny_user', 'cool', 'useful_user'},0.34598514533013625,0.30040353237031403,0.2792210070764372,0.8070317782285328,2.6864923054023446,1.0,0.17528584727160784,3.6254491087046445,0.9598671977693067,0.7604727469656909,0.7241721039197554,0.868259104470728
{'cool_user', 'cool'},{'useful_user', 'funny_user', 'fans'},0.33396105035382184,0.3280074858178841,0.2792210070764372,0.836088540207341,2.548992252791307,1.0,0.16967928258878032,4.099728689087132,0.9123912315965841,0.7295174647801241,0.7560814200554657,0.8436763351466403
{'cool_user', 'useful_user'},{'funny_user', 'cool', 'fans'},0.3834025381601263,0.2864845897420902,0.2792210070764372,0.7282711492113854,2.5420953701803533,1.0,0.16938208822555734,2.6258360427578338,0.9838245621499655,0.7147305389221557,0.6191689108853381,0.8514584831918193
{'cool_user', 'funny_user'},{'useful_user', 'cool', 'fans'},0.3544183870401778,0.29437978829171296,0.2792210070764372,0.7878287845285633,2.676232594297104,1.0,0.1748873973328593,3.325711313574863,0.9701955379227315,0.755514764059879,0.6993124460568156,0.8681674119718468
{'cool', 'fans'},{'cool_user', 'funny_user', 'useful_user'},0.3161120533364524,0.34727177027896367,0.2792210070764372,0.8832975653074816,2.543534029840456,1.0,0.16944421470776921,5.593098648205681,0.8873474524457566,0.7268298623797343,0.8212082312689388,0.8436696651057449
{'useful_user', 'fans'},{'cool_user', 'cool', 'funny_user'},0.3493537633779753,0.3029182993157495,0.2792210070764372,0.7992500334806482,2.6385003325518577,1.0,0.17339535921442417,3.472387631093594,0.9544308278267284,0.7484793378064838,0.7120137190198839,0.8605100271658395
{'funny_user', 'fans'},{'cool_user', 'cool', 'useful_user'},0.336300368442599,0.319737996374057,0.2792210070764372,0.8302726766833611,2.596728215285483,1.0,0.17169300109074348,4.007969903330555,0.9264733390127984,0.7409982617333003,0.7504971284417538,0.8517766661145807
{'cool', 'useful_user'},{'cool_user', 'funny_user', 'fans'},0.3250950347973566,0.326685771097725,0.2792210070764372,0.858890408001727,2.6291025933443484,1.0,0.17301708495362103,4.771569525270228,0.9181175270843643,0.7494662815521788,0.790425352768308,0.8567993035354142
{'cool', 'funny_user'},{'cool_user', 'useful_user', 'fans'},0.31875548277677057,0.3409673080297093,0.2792210070764372,0.8759724056949948,2.5690803342901987,1.0,0.1705358081943314,5.313597314075252,0.8965292731676693,0.7338231225600197,0.811803578462544,0.8474404239719872
{'funny_user', 'useful_user'},{'cool_user', 'cool', 'fans'},0.35535411427568864,0.294988010994795,0.2792210070764372,0.7857542543036766,2.663681997291548,1.0,0.17439580370743474,3.2906697246838426,0.9688727166387078,0.7523716473888241,0.6961104931014986,0.866152305581656
{'cool_user', 'review_count'},{'useful_user'},0.2980174279197614,0.3968653137610387,0.2958301655067548,0.9926606224734095,2.501253165881643,1.0,0.17755738546912098,82.17790732985287,0.8550075599535417,0.7413313011108831,0.9878312793244284,0.8690388287728085
{'cool_user', 'useful_user'},{'review_count'},0.3834025381601263,0.33200771974969295,0.2958301655067548,0.7715915677720492,2.324016948623264,1.0,0.1685375630659666,2.9245517502771228,0.9239586186044473,0.7050624442462088,0.6580672576899201,0.8313127823006803
{'review_count', 'useful_user'},{'cool_user'},0.3031756243055149,0.4014737703959296,0.2958301655067548,0.9757716049382716,2.430474110365853,1.0,0.17411310452467987,24.70350297983683,0.8446283771474482,0.7236209658960862,0.9595199109690554,0.856316055353415
{'review_count', 'funny_user'},{'useful_user'},0.28895257032575006,0.3968653137610387,0.2817357740218726,0.9750242875647668,2.4568140720704315,1.0,0.16706052153748524,24.148848118066876,0.8339370442605164,0.6972240715546933,0.9585901573809703,0.8424635142509952
{'review_count', 'useful_user'},{'funny_user'},0.3031756243055149,0.3858003392011229,0.2817357740218726,0.9292824074074074,2.4087132980019494,1.0,0.16477051532729275,8.685245612606055,0.8392940989667804,0.691817215727949,0.8848622083238997,0.8297727826510721
{'useful_user', 'funny_user'},{'review_count'},0.35535411427568864,0.33200771974969295,0.2817357740218726,0.792831045719364,2.387989792276802,1.0,0.1637554648375294,3.224384090607654,0.9016387970860049,0.6945702009861876,0.6898632508103139,0.8207065216266364
